,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker
34,0.8214285714285714,3722.1071428571427,rdbarren,junkers88,planes,0.36,0.56,0.45,0.45,0.45,0.54,0.58,0.73,"('rdbarren', 'junkers88')",790
35,0.75,4052.6785714285716,face0002,face0004,faces,0.21,0.27,0.36,0.36,0.36,0.34,0.46,0.38,"('face0002', 'face0004')",886
36,0.7931034482758621,2158.7586206896553,hedgehog,TURTLE_L,animals,0.68,0.71,0.33,0.33,0.33,0.9,0.96,0.94,"('hedgehog', 'TURTLE_L')",261
37,0.9310344827586207,1930.5172413793102,_004,_031,chairs,0.36,0.2,0.38,0.38,0.38,1.0,0.97,0.87,"('_004', '_031')",341
38,0.7037037037037037,3332.185185185185,face0007,face0006,faces,0.27,0.25,0.12,0.12,0.12,0.23,0.19,0.25,"('face0007', 'face0006')",1075
39,0.72,3511.76,face0002,face0007,faces,0.43,0.26,0.34,0.34,0.34,0.49,0.42,0.39,"('face0002', 'face0007')",901
40,1.0,2042.037037037037,_011,_004,chairs,0.8,0.17,0.43,0.43,0.43,0.99,1.0,0.99,"('_011', '_004')",425
41,0.875,2469.5625,GORILLA,bear,animals,0.85,0.7,0.51,0.51,0.51,1.0,1.0,1.0,"('GORILLA', 'bear')",50
42,0.7352941176470589,3435.823529411765,face0005,face0007,faces,0.35,0.22,0.12,0.12,0.12,0.38,0.29,0.32,"('face0005', 'face0007')",1005
43,0.9583333333333334,1763.5416666666667,_004,_011,chairs,0.95,0.24,0.37,0.37,0.37,1.0,1.0,1.0,"('_004', '_011')",331
44,0.7666666666666667,3140.733333333333,LIONESS,breed_pug,animals,0.81,0.78,0.34,0.34,0.34,0.67,0.57,0.53,"('LIONESS', 'breed_pug')",95
45,0.8148148148148148,3120.814814814815,f16,_05_future,planes,0.71,0.74,0.52,0.52,0.52,0.82,0.84,0.67,"('f16', '_05_future')",671
46,0.75,2514.5416666666665,_014,_001,chairs,0.81,0.77,0.51,0.51,0.51,0.96,0.97,0.96,"('_014', '_001')",455
47,0.9393939393939394,1834.4545454545455,ELEPHANT_M,TURTLE_L,animals,0.89,0.27,0.42,0.42,0.42,1.0,1.0,1.0,"('ELEPHANT_M', 'TURTLE_L')",11
48,0.9285714285714286,3791.75,junkers88,sopwith,planes,0.66,0.39,0.29,0.29,0.29,0.33,0.2,0.19,"('junkers88', 'sopwith')",731
49,0.7777777777777778,3276.5555555555557,_008,_011,chairs,0.53,0.43,0.44,0.44,0.44,0.75,0.7,0.52,"('_008', '_011')",365
