,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker
166,0.8260869565217391,3100.913043478261,f16,_19_flyingBoat,planes,0.6,0.48,0.4,0.4,0.4,0.57,0.56,0.53,"('f16', '_19_flyingBoat')",679
167,0.8095238095238095,2480.904761904762,_05_future,rdbarren,planes,0.62,0.11,0.78,0.78,0.78,1.0,1.0,1.0,"('_05_future', 'rdbarren')",624
168,0.7407407407407407,3234.3333333333335,_010,_033,chairs,0.57,0.29,0.52,0.52,0.52,0.73,0.8,0.68,"('_010', '_033')",419
169,0.9393939393939394,2450.3636363636365,breed_pug,LIONESS,animals,0.64,0.33,0.55,0.55,0.55,0.92,0.91,0.95,"('breed_pug', 'LIONESS')",224
170,0.92,3154.56,ELEPHANT_M,LIONESS,animals,0.76,0.34,0.48,0.48,0.48,0.71,0.61,0.53,"('ELEPHANT_M', 'LIONESS')",9
171,0.7391304347826086,3651.7391304347825,_19_flyingBoat,f16,planes,0.32,0.59,0.43,0.43,0.43,0.62,0.54,0.55,"('_19_flyingBoat', 'f16')",644
172,0.9565217391304348,3098.478260869565,face0002,face0003,faces,0.34,0.31,0.21,0.21,0.21,0.26,0.23,0.2,"('face0002', 'face0003')",883
173,0.9411764705882353,1770.2941176470588,_033,_004,chairs,1.0,0.63,0.47,0.47,0.47,1.0,1.0,0.99,"('_033', '_004')",533
174,0.8,3233.8,rdbarren,sopwith,planes,0.48,0.34,0.39,0.39,0.39,0.59,0.64,0.71,"('rdbarren', 'sopwith')",804
175,0.8275862068965517,2878.793103448276,face0002,face0001,faces,0.33,0.26,0.46,0.46,0.46,0.55,0.46,0.32,"('face0002', 'face0001')",879
176,0.9523809523809523,1818.1904761904761,blCow,breed_pug,animals,0.74,0.7,0.5,0.5,0.5,0.99,1.0,1.0,"('blCow', 'breed_pug')",204
177,0.7777777777777778,2580.4444444444443,_001,_033,chairs,0.73,0.4,0.32,0.32,0.32,0.84,0.88,0.74,"('_001', '_033')",313
178,0.8095238095238095,3524.190476190476,face0003,face0008,faces,0.64,0.2,0.45,0.45,0.45,0.58,0.57,0.46,"('face0003', 'face0008')",944
